Tree,Location,Timestamp,Depth,Moisture,Temperature
FB2,Inner,2023-07-28T03:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T04:59:00Z,1,1.8,20
FB2,Inner,2023-07-28T04:59:00Z,2,8.8,20.8
FB2,Inner,2023-07-28T04:59:00Z,3,5.8,20.8
FB2,Inner,2023-07-28T04:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-28T04:59:00Z,5,36.7,21
FB2,Inner,2023-07-28T04:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T04:59:00Z,7,NA,20.6
FB2,Inner,2023-07-28T05:59:00Z,1,1.9,20
FB2,Inner,2023-07-28T05:59:00Z,2,8.8,20.8
FB2,Inner,2023-07-28T05:59:00Z,3,5.9,20.8
FB2,Inner,2023-07-28T05:59:00Z,4,20.7,20.8
FB2,Inner,2023-07-28T05:59:00Z,5,36.7,21
FB2,Inner,2023-07-28T05:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T05:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T06:59:00Z,1,2,19.8
FB2,Inner,2023-07-28T06:59:00Z,2,8.8,20.8
FB2,Inner,2023-07-28T06:59:00Z,3,5.9,20.8
FB2,Inner,2023-07-28T06:59:00Z,4,20.7,20.8
FB2,Inner,2023-07-28T06:59:00Z,5,36.7,21
FB2,Inner,2023-07-28T06:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T06:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T07:59:00Z,1,2,20
FB2,Inner,2023-07-28T07:59:00Z,2,8.8,20.7
FB2,Inner,2023-07-28T07:59:00Z,3,5.9,20.8
FB2,Inner,2023-07-28T07:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-28T07:59:00Z,5,36.7,21
FB2,Inner,2023-07-28T07:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T07:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T08:59:00Z,1,1.9,20.1
FB2,Inner,2023-07-28T08:59:00Z,2,8.9,20.7
FB2,Inner,2023-07-28T08:59:00Z,3,5.9,20.8
FB2,Inner,2023-07-28T08:59:00Z,4,20.7,20.8
FB2,Inner,2023-07-28T08:59:00Z,5,36.8,21
FB2,Inner,2023-07-28T08:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T08:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T09:59:00Z,1,1.9,20.3
FB2,Inner,2023-07-28T09:59:00Z,2,9,20.7
FB2,Inner,2023-07-28T09:59:00Z,3,5.9,20.7
FB2,Inner,2023-07-28T09:59:00Z,4,20.6,20.8
FB2,Inner,2023-07-28T09:59:00Z,5,36.7,20.8
FB2,Inner,2023-07-28T09:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T09:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T10:59:00Z,1,1.8,20.5
FB2,Inner,2023-07-28T10:59:00Z,2,9.2,20.7
FB2,Inner,2023-07-28T10:59:00Z,3,5.9,20.7
FB2,Inner,2023-07-28T10:59:00Z,4,20.7,20.8
FB2,Inner,2023-07-28T10:59:00Z,5,36.8,21
FB2,Inner,2023-07-28T10:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T10:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T11:59:00Z,1,1.7,20.7
FB2,Inner,2023-07-28T11:59:00Z,2,9.3,20.7
FB2,Inner,2023-07-28T11:59:00Z,3,5.9,20.8
FB2,Inner,2023-07-28T11:59:00Z,4,20.8,20.8
FB2,Inner,2023-07-28T11:59:00Z,5,36.8,21
FB2,Inner,2023-07-28T11:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T11:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T12:59:00Z,1,1.6,21
FB2,Inner,2023-07-28T12:59:00Z,2,9.4,20.8
FB2,Inner,2023-07-28T12:59:00Z,3,5.9,20.7
FB2,Inner,2023-07-28T12:59:00Z,4,20.7,20.8
FB2,Inner,2023-07-28T12:59:00Z,5,36.8,21
FB2,Inner,2023-07-28T12:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T12:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T13:59:00Z,1,1.6,21.7
FB2,Inner,2023-07-28T13:59:00Z,2,9.6,21
FB2,Inner,2023-07-28T13:59:00Z,3,5.9,20.7
FB2,Inner,2023-07-28T13:59:00Z,4,20.7,20.8
FB2,Inner,2023-07-28T13:59:00Z,5,36.8,21
FB2,Inner,2023-07-28T13:59:00Z,6,27.5,20.8
FB2,Inner,2023-07-28T13:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T14:59:00Z,1,1.4,21.8
FB2,Inner,2023-07-28T14:59:00Z,2,9.6,21.1
FB2,Inner,2023-07-28T14:59:00Z,3,6.4,20.7
FB2,Inner,2023-07-28T14:59:00Z,4,20.8,20.8
FB2,Inner,2023-07-28T14:59:00Z,5,36.8,21
FB2,Inner,2023-07-28T14:59:00Z,6,27.6,20.8
FB2,Inner,2023-07-28T14:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T15:59:00Z,1,1.4,21.8
FB2,Inner,2023-07-28T15:59:00Z,2,9.6,21.1
FB2,Inner,2023-07-28T15:59:00Z,3,6.8,20.7
FB2,Inner,2023-07-28T15:59:00Z,4,20.8,20.8
FB2,Inner,2023-07-28T15:59:00Z,5,36.9,21
FB2,Inner,2023-07-28T15:59:00Z,6,27.6,20.8
FB2,Inner,2023-07-28T15:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T16:59:00Z,1,1.4,22
FB2,Inner,2023-07-28T16:59:00Z,2,9.6,21.2
FB2,Inner,2023-07-28T16:59:00Z,3,8.4,20.7
FB2,Inner,2023-07-28T16:59:00Z,4,21,20.7
FB2,Inner,2023-07-28T16:59:00Z,5,36.9,21
FB2,Inner,2023-07-28T16:59:00Z,6,27.6,20.8
FB2,Inner,2023-07-28T16:59:00Z,7,NA,20.7
FB2,Inner,2023-07-28T17:59:00Z,1,1.4,21.8
FB2,Inner,2023-07-28T17:59:00Z,2,9.6,21.3
FB2,Inner,2023-07-28T17:59:00Z,3,8.8,20.8
